Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"AS Blix, RE Haugerud","12th Arctic Ungulate Conference (AUC), 8-13 August 2007, Yakutsk, Republic of Sakha (Yakutia), Russia.",2009,"Rangifer","septentrio.uit.no","https://septentrio.uit.no/index.php/rangifer/article/download/205/188","",826,"2025-02-25 15:34:16","PDF","","","",,,,,0,0.00,0,2,16,"… , since felling residue cover soil surface and snow conditions … increase in submesic forest openings after cutting which then … in these intensively grazed and logged forest areas. In this …","https://septentrio.uit.no/index.php/rangifer/article/download/205/188","https://scholar.google.com/scholar?q=related:7TiO36by5ooJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
3,"WF LaPage, GL Cole","1978 national camping market survey",1979,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=nh8-inBvRvYC&oi=fnd&pg=PA5&dq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&ots=tVsYcJURBp&sig=bUQyXiqGkSGM7zKh77dhLUNe1wc","https://scholar.google.com/scholar?cites=6150480749542611731&as_sdt=2005&sciodt=0,5&hl=en",421,"2025-02-25 15:34:16","BOOK","","","",,,,,3,0.07,2,2,46,"… when branches broke away from cut trees as they fell to the ground. During limbing and bucking… oak logging residue from a commercial timber sale on the Monongahela National Forest …","https://books.google.com/books?hl=en&lr=&id=nh8-inBvRvYC&oi=fnd&pg=PA5&dq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&ots=tVsYcJURBp&sig=bUQyXiqGkSGM7zKh77dhLUNe1wc","https://scholar.google.com/scholar?q=related:E5tdsqflWlUJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
0,"VÓ GIA","2021",2021,"researchgate.net","","https://www.researchgate.net/profile/Sandor-Csanyi/publication/362843178_Abstracts_of_the_35_IUGB_Congress_Budapest_20-24_September_2021_Vadbiologia_21_-_35th_Congress_of_the_International_Union_of_Game_Biologists/links/63037c43ceb9764f7216cd0f/Abstracts-of-the-35-IUGB-Congress-Budapest-20-24-September-2021-Vadbiologia-21-35th-Congress-of-the-International-Union-of-Game-Biologists.pdf","",721,"2025-02-25 15:34:16","PDF","","","",,,,,0,0.00,0,1,4,"… standard forest standard rate of tourist's visits of forest represented … Our study shows that ground counting and drone use are … Remote sensing cameras were set up to collect photos of …","https://www.researchgate.net/profile/Sandor-Csanyi/publication/362843178_Abstracts_of_the_35_IUGB_Congress_Budapest_20-24_September_2021_Vadbiologia_21_-_35th_Congress_of_the_International_Union_of_Game_Biologists/links/63037c43ceb9764f7216cd0f/Abstracts-of-the-35-IUGB-Congress-Budapest-20-24-September-2021-Vadbiologia-21-35th-Congress-of-the-International-Union-of-Game-Biologists.pdf","https://scholar.google.com/scholar?q=related:aG-nVUnXuTQJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
1,"A Chandel, R Verma, K Sood…","A bibliometric analysis of drones-mediated precision farming",2024,"International Journal of …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJSAMI.2024.141841","https://scholar.google.com/scholar?cites=2494802843325717525&as_sdt=2005&sciodt=0,5&hl=en",598,"2025-02-25 15:34:16","","10.1504/IJSAMI.2024.141841","","",,,,,1,1.00,0,4,1,"… remote sensing applications’ (Malveaux et al., 2014). The article described how UAVs fitted with remote sensing … to automatically uncover the locations of soil samples. ‘Development of …","","https://scholar.google.com/scholar?q=related:FVwQzfdRnyIJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
6,"N Mararakanye","A Comparative Study of Gully Erosion Contributing Factors in Two Tertiary Catchments in Mpumalanga South Africa",2015,"","search.proquest.com","https://search.proquest.com/openview/aa8db5dec52d99fb5656def3329ea39a/1?pq-origsite=gscholar&cbl=2026366&diss=y","https://scholar.google.com/scholar?cites=15751306605269018933&as_sdt=2005&sciodt=0,5&hl=en",763,"2025-02-25 15:34:16","BOOK","","","",,,,,6,0.60,6,1,10,"… gullies are influenced by soils with varied depths belonging … the very deep Hutton dominated soil form with texture varying … location, as does indigenous forest and thicket/ bushland. An …","https://repository.up.ac.za/bitstream/handle/2263/53518/Mararakanye_Comparative_2015.pdf?sequence=1","https://scholar.google.com/scholar?q=related:NelSS-fhl9oJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
4,"WC Brant","A Comparison of Field Methods at Camp Lawton (9JS1)",2016,"","digitalcommons.georgiasouthern …","https://digitalcommons.georgiasouthern.edu/etd/1416/","https://scholar.google.com/scholar?cites=5705056155927248771&as_sdt=2005&sciodt=0,5&hl=en",657,"2025-02-25 15:34:16","","","","",,,,,4,0.44,4,1,9,"… Magnetometry Magnetometry (MAG) is a method of remote sensing which detects subsurface anomalies. This is done by emitting electromagnetic pulses into the ground. These pulses …","https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=2501&context=etd","https://scholar.google.com/scholar?q=related:g_-y3VhuLE8J:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
1,"MW Kresge","A Comparison of Resource-Centric VS. People-Centric Approaches to Open Space Planning: A Case Study in Jaffrey, NH",2011,"","core.ac.uk","https://core.ac.uk/download/pdf/13619102.pdf","https://scholar.google.com/scholar?cites=16618583085756878260&as_sdt=2005&sciodt=0,5&hl=en",878,"2025-02-25 15:34:16","PDF","","","",,,,,1,0.07,1,1,14,"… lands (primarily agriculture and forestry) is still a realistic … a static picture derived from remote sensing technologies, it … skidders for logging operations can cause major rutting and …","https://core.ac.uk/download/pdf/13619102.pdf","https://scholar.google.com/scholar?q=related:tI3aeEQRoeYJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
0,"WY Lam, RW Mackereth, CME Lajoie…","A comparison of the effects of beaver ponds and forest harvest on stream methylmercury in boreal watersheds",2025,"Environmental …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/2752-664X/ada8b2/meta","",528,"2025-02-25 15:34:16","","10.1088/2752-664X/ada8b2","","",,,,,0,0.00,0,4,1,"… soils versus those that prefer dry, well-drained soils. Mixed … matter from upland soils exposed to rutting from machinery … after forest clear-cut: a consequence of mobilization from soil …","https://iopscience.iop.org/article/10.1088/2752-664X/ada8b2/pdf","https://scholar.google.com/scholar?q=related:lwlOoYc3Zr4J:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
5,"ML Hargrave","A Comparison of Traditional and Geoophysical Strategies for Assessing the National Register Status of Archaeological Sites at Fort Riley, Kansas",1999,"","researchgate.net","https://www.researchgate.net/profile/Michael-Hargrave-2/publication/235151196_A_Comparison_of_Traditional_and_Geophysical_Strategies_for_Assessing_the_National_Register_Status_of_Archaeological_Sites_at_Fort_Riley_Kansas/links/585c551e08ae8fce48facf00/A-Comparison-of-Traditional-and-Geophysical-Strategies-for-Assessing-the-National-Register-Status-of-Archaeological-Sites-at-Fort-Riley-Kansas.pdf","https://scholar.google.com/scholar?cites=459170898938459295&as_sdt=2005&sciodt=0,5&hl=en",815,"2025-02-25 15:34:16","BOOK","","","",,,,,5,0.19,5,1,26,"… An alternative strategy is based on the use of geophysical survey techniques and highly targeted groundtruthing … Marginal portions of the site were within a floodplain hardwood forest. …","https://www.researchgate.net/profile/Michael-Hargrave-2/publication/235151196_A_Comparison_of_Traditional_and_Geophysical_Strategies_for_Assessing_the_National_Register_Status_of_Archaeological_Sites_at_Fort_Riley_Kansas/links/585c551e08ae8fce48facf00/A-Comparison-of-Traditional-and-Geophysical-Strategies-for-Assessing-the-National-Register-Status-of-Archaeological-Sites-at-Fort-Riley-Kansas.pdf","https://scholar.google.com/scholar?q=related:n3Rs8n9NXwYJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
1,"EN Fondo","A Comperative Study Of Macrofauna In A Highly Exploited And Less Exploited Mangrove Swamp At Gazi Area Kenya",1996,"","erepository.uonbi.ac.ke","https://erepository.uonbi.ac.ke/bitstream/handle/11295/96301/Fondo_A%20comperative%20study%20of%20macrofauna%20in%20a%20highly%20exploited%20and%20less%20exploited%20mangrove%20swamp%20at%20Gazi%20area%20Kenya.pdf?sequence=1","https://scholar.google.com/scholar?cites=11959517359657861133&as_sdt=2005&sciodt=0,5&hl=en",805,"2025-02-25 15:34:16","PDF","","","",,,,,1,0.03,1,1,29,"… of acid soils and decreasing the pH of alkaline soils so that most flooded … Forest Department is responsible of controlling the cutting by issuing licenses and ensuring that poles are cut …","https://erepository.uonbi.ac.ke/bitstream/handle/11295/96301/Fondo_A%20comperative%20study%20of%20macrofauna%20in%20a%20highly%20exploited%20and%20less%20exploited%20mangrove%20swamp%20at%20Gazi%20area%20Kenya.pdf?sequence=1","https://scholar.google.com/scholar?q=related:DUCGo6y9-KUJ:scholar.google.com/&scioq=*forest*+soil*+log*%7C*cut*%7Charvest*%7Ctimber%7Cfire%7Cinsect*%7Cwindthrow+degradation%7Cdisturbance%7Cerosion%7Ccompaction%7C*rut*+%22remote+sensing%22&hl=en&as_sdt=0,5"
