id,handle,title,date_issued,uri,doi,citation,type,centre,publisher,api_url,authors,language,openaccess,discoverable,govdocnum,isbn,program,project,contact,catn,bbox,polygon,sponsor_code,workflowid,abstract
2b9475d1-3051-4c73-943f-e668e57cc6ff,1845/269979,"Comparison of edge effects from well pads and industrial roads on mixed upland boreal forest vegetation in Alberta.",2024,https://ostrnrcan-dostrncan.canada.ca/entities/publication/2b9475d1-3051-4c73-943f-e668e57cc6ff,https://doi.org/10.1007/s11258-023-01393-3,"Buss, J.; Dabros, A.; Higgins, K.L.; Hammond, H.E.J.; Pinzon, J.; Langor, D.W. 2024. Comparison of edge effects from well pads and industrial roads on mixed upland boreal forest vegetation in Alberta. Plant Ecology (2024). https://doi.org/10.1007/s11258-023-01393-3.",Article,"Northern Forestry Centre",,https://ostr-backend-prod.azurewebsites.net/server/api/core/items/2b9475d1-3051-4c73-943f-e668e57cc6ff,"Buss, J.; Dabros, A.; Higgins, K. L.; Hammond, H. E. J.; Pinzon, J.; Langor, D. W.",English,,1,,,,,,,,,,,"The industrial footprint of oil and gas extraction in Alberta, Canada dissects the landscape in a network of linear and polygonal disturbances such as roads and well pads. The changes to biotic and abiotic factors beyond the boundaries of these disturbances into the adjacent ecosystem are called edge effects. A common assumption is that edge effects are proportional to the width of the disturbance, with wider disturbances leading to deeper effects into the forest. The objective of this study is to compare edge effects on plant composition, seed dispersal distance, seed weight, and microclimate across three disturbance types: narrow ( 20 m) roads, and well pads (&gt; 100 m; 1.9 ha) in upland boreal forests in the oil sands region of north-eastern Alberta. We sampled 1 m2 plots at six distances (0 m, 10 m, 15 m, 25 m, 50 m, and 75 m) along transects running perpendicular from the disturbance edge into the forest. Edge effects for plant communities were contained at the disturbance edge for all disturbance types considered. Understory species richness was lower at the disturbance edge and was dominated by introduced species and species with lighter seeds and with medium-distance dispersal mechanisms. Disturbance edges were characterized as having higher soil moisture content, higher soil temperature, and a thinner organic matter layer compared to the forest interior (&gt; 10 m). With no effect of disturbance width on width of edge effects, our study does not support the assumption that narrower disturbances will necessarily result in narrower edge effects for vegetation and abiotic metrics."
0ea4c419-4818-423d-b6d6-4cfd4418e124,1845/270108,"In Brief from the Canadian Forest Service, Laurentian Forestry Centre. 2023. NRCan, CFS, Laurentian Forestry Centre, Québec, Que. No. 62.",2023,https://ostrnrcan-dostrncan.canada.ca/entities/publication/0ea4c419-4818-423d-b6d6-4cfd4418e124,,"In Brief from the Canadian Forest Service, Laurentian Forestry Centre. 2023. NRCan, CFS, Laurentian Forestry Centre, Québec, Que. No. 62.",Report,"Laurentian Forestry Centre",,https://ostr-backend-prod.azurewebsites.net/server/api/core/items/0ea4c419-4818-423d-b6d6-4cfd4418e124,"Hébert, C.; Paré, D.; Martel, V.; Boucher, J.; Laganière, J.; Isabel, N.",English,,1,,,,,,,,,,,"Accuracy of hemlock looper defoliation estimates  - Soil sensitivity to forest harvesting residues: mapping, comparisons and challenges  - Computed tomography to detect woodborer insects  - Woodborers or salvage logging: first come, first served!  - Exotic earthworms: a presence with impact  - Aerial monitoring of white spruce seedling phenology"
27ba6a14-3f08-4f1d-b5b0-01e5e31f75ab,1845/243302," Defoliation-induced changes in foliage quality may trigger broad-scale insect outbreaks",2022,https://ostrnrcan-dostrncan.canada.ca/entities/publication/27ba6a14-3f08-4f1d-b5b0-01e5e31f75ab,https://doi.org/1038,"De Grandpré, L.; Marchand, M.; Kneeshaw, D.D; Paré, D.; Boucher, D.; Bourassa, S.; Gervais, D.; Simard, S.; Griffin, J. M.; Pureswaran, D. S. 2022. Defoliation-induced changes in foliage quality may trigger broad-scale insect outbreaks. Spring Nature 5, 463. 11p.",Article,"Laurentian Forestry Centre",,https://ostr-backend-prod.azurewebsites.net/server/api/core/items/27ba6a14-3f08-4f1d-b5b0-01e5e31f75ab,"De Grandpré, L.; Marchand, M.; Kneeshaw, D. D.; Pare, D.; Boucher, D.; Bourassa, S.; Gervais, D.; Simard, M.; Griffin, J. M.; Pureswaran, D. S.",English,open,1,,,,,,,,,,,"Top-down effects, like predation, are drivers of insect outbreaks, but bottom-up effects, like host nutritional quality, also influence outbreaks and could in turn be altered by insect-caused defoliation. We evaluated the prediction that herbivory leads to a positive feedback on outbreak severity as nutrient concentration in plant tissues increases through improved soil nutrient availability from frass and litter deposition. Over seven years of a spruce budworm outbreak, we quantified litter nutrient fluxes, soil nitrogen availability, and host tree foliar nutrient status along a forest susceptibility gradient. As the outbreak progressed, both soil nutrient fluxes and availability increased which, in turn, improved foliage quality in surviving host trees. This is consistent with boosted insect fitness and increased population density and defoliation as outbreaks grow. Our results suggest that a positive bottom-up feedback to forest ecosystems from defoliation may result in conditions favorable to self-amplifying population dynamics in insect herbivores that can contribute to driving broad-scale outbreaks."
0e3b66b2-567f-4f81-bccd-a1f50c9a4f53,1845/270018,"Soil mounding as a restoration approach of seismic lines in boreal peatlands: implications on microtopography.",2022,https://ostrnrcan-dostrncan.canada.ca/entities/publication/0e3b66b2-567f-4f81-bccd-a1f50c9a4f53,https://doi.org/10.1111/rec.13835,"Pinzon, J.; Dabros, A.; Hoffman, P. 2022. Soil mounding as a restoration approach of seismic lines in boreal peatlands: implications on microtopography. Restoration Ecology 31(8):e13835.",Article,"Northern Forestry Centre",,https://ostr-backend-prod.azurewebsites.net/server/api/core/items/0e3b66b2-567f-4f81-bccd-a1f50c9a4f53,"Pinzon, J.; Dabros, A.; Hoffman, P. G. K.",English,,1,,,,,,,,,,,"Seismic lines—narrow and straight corridors from which overstory has been removed to allow access for oil and gas exploration—are a major human footprint in the boreal forest of western Canada. With slow to minimal recovery of tree cover along these corridors, seismic lines have become a persistent landscape feature affecting connectivity and habitat quality in forested ecosystems, particularly in wetland areas. Soil mounding is a common ground preparation treatment widely applied along seismic lines, with the expectation that it will enhance tree seedling establishment and improve the return of tree cover to disturbed areas. However, much is still unknown about environmental responses following treatment application. In this study, we compared the ground microtopography in treated and untreated seismic lines, as well as the relative elevation between treated and untreated seismic lines with their adjacent treed peatland. The ground elevation in both treated and untreated sites was significantly lower on seismic lines relative to their adjacent treed peatland, with a greater elevation difference in treated areas. Likewise, ground microtopography was orders of magnitude higher along treated areas compared to the natural variation in the adjacent treed peatland. Given the important changes in relative elevation and topography following treatment application, our results suggest the potential for eventual treatment success may be more unpredictable than expected; this may have critical consequences for other ecological properties beyond the restoration goal of tree establishment and return of tree cover."
fe6cef45-cbb4-4629-9364-3e0079fbb871,1845/244295,"Large Soil Carbon Storage in Terrestrial Ecosystems of Canada",2022,https://ostrnrcan-dostrncan.canada.ca/entities/publication/fe6cef45-cbb4-4629-9364-3e0079fbb871,,"Camile Sothe",Article,"Pacific Forestry Centre",,https://ostr-backend-prod.azurewebsites.net/server/api/core/items/fe6cef45-cbb4-4629-9364-3e0079fbb871,"Gonsamo, A.; Kurz, W. A.",English,,1,,,,,,,,,,,"Terrestrial ecosystems of Canada store a large amount of organic carbon (C) in soils, peats and plant materials, yet little is known about the C stock size and distributions, both spatially and in various C pools. As temperature rises, C is becoming available for disturbance, decomposition and eventual release into the atmosphere, which makes the quantification of C stocks in terrestrial ecosystems of Canada of high interest for the assessment of climate change impacts and conservation efforts. We used a large number of field measurements, multisource satellite, climate and topographic data and a machine learning algorithm to produce the first wall-to-wall estimates of C stocks and uncertainties in plants and soils of Canada at 250 m spatial resolution. Our findings show that above and belowground live biomass and detritus store a total of 21.1 Pg of carbon (Pg C). Whereas the Canadian soils store 306 (±147, 90% confidence interval) Pg organic C in the top 1 m, 98 Pg C of which are stored in peatlands, confirming that the soil organic C dominates terrestrial carbon stocks in Canada. We also find previously under-reported large soil organic C stocks in forested peatlands on the boreal shields of Canada. Given that Canada is warming twice the global average rate and Canadian soils store approximately 20.4% of world soil C stocks in top 1 m, initiatives to understand their vulnerabilities to climate change and disturbance are indispensable not only for Canada but also for the global C cycle."
883cdc28-9872-445b-92e7-0825e8939896,1845/244309,"Using the Soil and Water Assessment Tool to develop a LiDAR-based index of the erosion regulation ecosystem service",2021,https://ostrnrcan-dostrncan.canada.ca/entities/publication/883cdc28-9872-445b-92e7-0825e8939896,https://doi.org/10.1016/j.jhydrol.2021.126009,"Frizzle, C.; Fournier, R.A.; Trudel, M.; Luther, J.E. 2021. Using the Soil and Water Assessment Tool to develop a LiDAR-based index of the erosion regulation ecosystem service. Journal of Hydrology 595",Article,"Atlantic Forestry Centre",,https://ostr-backend-prod.azurewebsites.net/server/api/core/items/883cdc28-9872-445b-92e7-0825e8939896,"Luther, J. E.",English,,1,,,,,,,,,,,"Maps of ecosystem services are becoming increasingly useful for reporting on the potential impacts of human activity on the environment. However, interactions in watersheds are complex, and mapping hydrological ecosystem services (HES) requires indicators which accurately measure underlying processes. The main objective of this study was to take advantage of the Soil and Water Assessment Tool (SWAT) and Light detection and ranging (LiDAR) data to map the erosion regulation service for a managed boreal forest watershed. To do so, SWAT and partial least-squares (PLS) regression were used to select explanatory variables for sediment yield. Variables of importance in projection (VIP) with a score &gt; 1 were selected to develop LiDAR-based ecological indicators. Four categories of variables were identified as VIP from the PLS: (i) climate: annual precipitation, (ii) land use: forest, cutovers; (iii) land use patterns: cutover patch cohesion index, and (iv) morphometric: main channel length, channel length and sub-watershed area. The height of the 95th percentile of LiDAR returns (p95) &lt; 5 m provided the most accurate spatial representation of cutovers and the optimal cutover patch cohesion index. Other morphometrics were obtained from a LiDAR-based digital terrain model. Explanatory variables for sediment yield were combined in a sediment erosion control (SEC) index, except for yearly average precipitation because the SEC index is not actually used as a temporal index. As expected, a negative relationship was found between sediment yield and SEC index rankings for the 2006-2015 period (Spearman, rho = -0.6, p &lt; 0.05). Moreover, the overall agreement between SWAT and SEC index classes was 87% for 31 sub-watersheds. The study provides a list of relevant explanatory variables for modelling sediment yield in a boreal forest watershed where timber harvest activities occur. It also demonstrates the use of LiDAR data for deriving an index of the erosion regulation ecosystem service in a proxy-based approach as it had not been demonstrated previously at the watershed level. The validation method applied here fills a gap in ecosystem services mapping that could benefit studies in other watershed contexts."
eb2bc2d6-3d57-4a8c-8898-08fd19c7b18a,1845/244263,"Biophysical Determinants of Shifting Tundra Vegetation Productivity in the Beaufort Delta Region of Canada",2021,https://ostrnrcan-dostrncan.canada.ca/entities/publication/eb2bc2d6-3d57-4a8c-8898-08fd19c7b18a,https://doi.org/10.1007/s10021-021-00725-6,"Jordan H. Seider",Article,"Pacific Forestry Centre",,https://ostr-backend-prod.azurewebsites.net/server/api/core/items/eb2bc2d6-3d57-4a8c-8898-08fd19c7b18a,"Lantz, T. C.; Hermosilla, T.; Wulder, M.",English,,1,,,,,,,,,,,"Temperature increases across the circumpolar north have driven rapid increases in vegetation productivity, often described as ‘greening’. These changes have been widespread, but spatial variation in their pattern and magnitude suggests that biophysical factors also influence the response of tundra vegetation to climate warming. In this study, we used field sampling of soils and vegetation and random forests modeling to identify the determinants of trends in Landsat-derived Enhanced Vegetation Index, a surrogate for productivity, in the Beaufort Delta region of Canada between 1984 and 2016. This region has experienced notable change, with over 71% of the Tuktoyaktuk Coastlands and over 66% of the Yukon North Slope exhibiting statistically significant greening. Using both classification and regression random forests analyses, we show that increases in productivity have been more widespread and rapid at low-to-moderate elevations and in areas dominated by till blanket and glaciofluvial deposits, suggesting that nutrient and moisture availability mediate the impact of climate warming on tundra vegetation. Rapid greening in shrub-dominated vegetation types and observed increases in the cover of low and tall shrub cover (4.8% and 6.0%) also indicate that regional changes have been driven by shifts in the abundance of these functional groups. Our findings demonstrate the utility of random forests models for identifying regional drivers of tundra vegetation change. To obtain additional fine-grained insights on drivers of increased tundra productivity, we recommend future research combine spatially comprehensive time series satellite data (as used herein) with samples of high spatial resolution imagery and integrated field investigations."
7cbb186b-bebe-4361-aa84-48798fcb49e4,1845/268761,"Boreal permafrost thaw amplified by fire disturbance and precipitation increases",2020-11-18,https://ostrnrcan-dostrncan.canada.ca/entities/publication/7cbb186b-bebe-4361-aa84-48798fcb49e4,https://doi.org/10.1088/1748-9326/abbeb8,"Williams, M., Zhang, Y., Estop-Aragonés, C., Fisher, J. P., Xenakis, G., Charman, D. J., Hartley, I. P., Murton, J. B. & Phoenix, G. K. (2020). Boreal permafrost thaw amplified by fire disturbance and precipitation increases. <i>Environmental Research Letters</i>, 15, 11, 114050, 1-13. https://doi.org/10.1088/1748-9326/abbeb8",Article,"Canada Centre for Remote Sensing","IOP Publishing Ltd.",https://ostr-backend-prod.azurewebsites.net/server/api/core/items/7cbb186b-bebe-4361-aa84-48798fcb49e4,"Williams, M.; Zhang, Y.; Estop-Aragonés, C.; Fisher, J. P.; Xenakis, G.; Charman, D. J.; Hartley, I. P.; Murton, J. B.; Phoenix, G. K.",English,gold,1,,,"Canada Centre for Remote Sensing","Remote Sensing Science Program - Optical methods and applications",,,,,350313,,"Permafrost soils store huge amounts of organic carbon, which could be released if climate change promotes thaw. Currently, modelling studies predict that thaw in boreal regions is mainly sensitive to warming, rather than changes in precipitation or vegetation cover. Weevaluate this conclusion for North American boreal forests using a detailed process-based model parameterised and validated on field measurements. We show that soil thermal regimes for dominant forest types are controlled strongly by soil moisture and thus the balance between evapotranspiration andprecipitation. Under dense canopy cover, high evapotranspiration means a 30% increase in precipitation causes less thaw than a 1 C increase in temperature. However, disturbance to vegetation promotes greater thaw through reduced evapotranspiration, which results in wetter, more thermally conductivesoils. In such disturbed forests, increases in precipitation rival warming as a direct driver of thaw, with a 30% increase in precipitation at current temperatures causing more thaw than 2 C of warming. We find striking non-linear interactive effects on thaw between rising precipitation and loss ofleaf area, which are of concern given projections of greater precipitation and disturbance in boreal forests. Inclusion of robust vegetation-hydrological feedbacks in global models is therefore critical for accurately predicting permafrost dynamics; thaw cannot be considered to be controlled solelyby rising temperatures."
987c3ecb-7524-472b-82dc-605e48c8b2fe,1845/246578,"Les Brèves du Service canadien des forêts, Centre de foresterie des Laurentides. No 58.",2020,https://ostrnrcan-dostrncan.canada.ca/entities/publication/987c3ecb-7524-472b-82dc-605e48c8b2fe,,"Les Brèves du Service canadien des forêts, Centre de foresterie des Laurentides. 2020. RNCan, SCF, Centre de foresterie des Laurentides, Québec (Québec). No 58. 2 p.",Report,"Laurentian Forestry Centre",,https://ostr-backend-prod.azurewebsites.net/server/api/core/items/987c3ecb-7524-472b-82dc-605e48c8b2fe,"Nadeau, S.; Pare, D.; Girardin, M. -P.; Côté, J. -F.; Duchesne, I.",French,open,1,,,,,,,,,,,"-Fostering the growth of Indigenous forestry companies in Quebec  -What are the effects of salvage cutting on soil nutrients after an insect outbreak?  -Forest productivity suffers a heat stroke!  -Performing forest inventory using remote sensing?  -Grading hardwood trees to better estimate stands value  -What is causing the openings in jack pine stands within the boreal forest?"
16f27cce-c057-4f27-b04a-8fbe0e256417,1845/218115,"Distance from the forest edge influences soil fungal communities colonizing a reclaimed soil borrow site in boreal mixedwood forest.",2020,https://ostrnrcan-dostrncan.canada.ca/entities/publication/16f27cce-c057-4f27-b04a-8fbe0e256417,https://doi.org/10.3390/f11040427,"Ramsfield, T.; Shay, P.-E.; Trofymow, T.; Myrholm, C.; Tomm, B.; Gagné, P.; Bérubé, J. 2020. Distance from the forest edge influences soil fungal communities colonizing a reclaimed soil borrow site in boreal mixedwood forest. Forests 11(4):427.",Article,"Northern Forestry Centre",,https://ostr-backend-prod.azurewebsites.net/server/api/core/items/16f27cce-c057-4f27-b04a-8fbe0e256417,"Ramsfield, T. D.; Shay, P-E.; Trofymow, J. A.; Myrholm, C. L.; Tomm, B.; Gagné, P.; Berubé, J.",English,open,1,,,,,,,,,,,"bstract: Soil fungi are important components of boreal forest ecosystems; for example, saprotrophic fungi regulate nutrient cycling, and mycorrhizal species facilitate nutrient uptake by plants. This study aimed to assess soil fungal communities in a reclaimed area and an adjacent natural mixedwood forest and to identify the distribution of taxa available for seedling colonization. Soil fungal microbiomes were assessed along three transects (from 10 m inside the interior of the undisturbed forest to 40 m inside the reclaimed area) and in the roots of small aspen within the natural forest. Using high-throughput deoxyribonucleic acid (DNA) sequencing of internal transcribed spacer amplicons, a total of 2796 unique fungal taxa were detected across fine roots, forest floor, and mineral soils collected along the transects, whereas 166 taxa were detected in the aspen roots from the natural forest. Within the interior of the forest, ectomycorrhizal fungi were more common, whereas in the reclaimed areas, arbuscular mycorrhizae and saprophytes were more common. This survey showed that natural areas of adjacent undisturbed forest can act as a source of ectomycorrhizal fungi for dispersal into reclaimed areas. Notably, soil fungal taxa colonizing the root systems of small aspen included species that are specifically associated with soils from the undisturbed forest (primarily ectomycorrhizae) or the reclaimed clearing (saprotrophs and plant pathogens)."
