study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
Martins_Pinheiro_Nunes_etal_2024,Martins,"Martins, Bruno ; Pinheiro, Catarina ; Nunes, Adelia ; Bento-Goncalves, Antonio ; Laranjeira, Manuela",2024,Site-scale drivers of post-fire vegetation regrowth in gullies; A case study in Mediterranean Europe,Earth Surface Processes and Landforms,analytic,https://doi.org/10.1002/esp.5974,https://research.ebsco.com/linkprocessor/plink?id=01ec313d-7249-3a73-a973-c2d2b2bfa69b,EBSCOhost
Win_Sato_Tsuyuki_2024,Win,"Win, Kyaw ; Sato, Tamotsu ; Tsuyuki, Satoshi",2024,Application of Multi-Source Remote Sensing Data and Machine Learning for Surface Soil Moisture Mapping in Temperate Forests of Central Japan.,Information (2078-2489),article,https://doi.org/10.3390/info15080485,https://research.ebsco.com/linkprocessor/plink?id=88a940cd-515f-33f6-a3ab-56d48f1751fe,EBSCOhost
Li Yuan_Liu Youqian_Chen Ji_etal_2024,Li Yuan,Li Yuan ; Liu Youqian ; Chen Ji ; Dang Haiming ; Zhang Shouhong ; Mei Qihang ; Zhao Jingyi ; Wang Jinchang ; Dong Tianchun ; Zhao Yaojun,2024,Advances in retrogressive thaw slump research in permafrost regions,Permafrost and Periglacial Processes,analytic,https://doi.org/10.1002/ppp.2218,https://research.ebsco.com/linkprocessor/plink?id=c1fa006c-e684-3edf-894f-70a66c27dccc,EBSCOhost
Adams_Dixon_Wilcox_etal_2023,Adams,"Adams, Kailey V. ; Dixon, Jean L.  ; Wilcox, Andrew C. ; McWethy, Dave",2023,Fire-produced coarse woody debris and its role in sediment storage on hillslopes,Earth Surface Processes and Landforms,analytic,https://doi.org/10.1002/esp.5573,https://research.ebsco.com/linkprocessor/plink?id=72006752-71c4-352e-b3eb-2cdfed8bce21,EBSCOhost
Widya_Lee_2024,Widya,"Widya, Liadira K. ; Lee, Chang-Wook",2024,"Geospatial technologies for estimating post-wildfire severity through satellite imagery and vegetation types; a case study of the Gangneung Wildfire, South Korea",Geosciences Journal (Seoul),analytic,https://doi.org/10.1007/s12303-023-0045-2,https://research.ebsco.com/linkprocessor/plink?id=157b0c0a-2950-3cb3-bedd-eb1980c4d459,EBSCOhost
Sleeter_Bean_Creighton_etal_2024,Sleeter,"Sleeter, Rachel ; Bean, Robert ; Creighton, Andrea ; Anonymous",2024,"Remote-sensing assessment of post-fire vegetation regrowth in the little North santiam watershed, Oregon","Geological Society of America, 2024 annual meeting; GSA Connects 2024",analytic,https://doi.org/10.1130/abs/2024AM-401975,https://research.ebsco.com/linkprocessor/plink?id=85cdebbb-9c67-3a60-8932-e8c2efde077b,EBSCOhost
Guilinger_Foufoula-Georgiou_Gray_etal_2023,Guilinger,"Guilinger, James J. ; Foufoula-Georgiou, Efi  ; Gray, Andrew B.  ; Randerson, James T.  ; Smyth, Padhraic ; Barth, Nicolas C. ; Goulden, Michael L.",2023,Predicting postfire sediment yields of small steep catchments using airborne lidar differencing,Geophysical Research Letters,analytic,https://doi.org/10.1029/2023GL104626,https://research.ebsco.com/linkprocessor/plink?id=cb5150da-45dc-3e88-be33-970cf0f875c8,EBSCOhost
Chatterjee_2020,Chatterjee,"Chatterjee, Nirmalya",2020,"Soil erosion assessment in a humid, eastern Himalayan watershed undergoing rapid land use changes, using RUSLE, GIS and high-resolution satellite imagery",Modeling Earth Systems and Environment,analytic,https://doi.org/10.1007/s40808-019-00700-0,https://research.ebsco.com/linkprocessor/plink?id=e8e2bfac-7c15-38a4-aac8-38d0e5369ad2,EBSCOhost
Wells_Bennett_Redwine_etal_2024,Wells,"Wells, Ray E. ; Bennett, Scott E. K.  ; Redwine, Joanna R. ; Staisch, Lydia M.  ; Holm-Denoma, Christopher S.  ; Mahan, Shannon A.",2024,"Geologic map of Scoggins Dam, Henry Hagg Lake, and Scoggins Valley, Washington County, Oregon",Scientific Investigations Map,monograph,https://doi.org/10.3133/sim3528,https://research.ebsco.com/linkprocessor/plink?id=c23d8151-e1fc-30b5-8d20-d8ac6e045d11,EBSCOhost
Guilinger_Foufoula-Georgiou_Gray_etal_2023,Guilinger,"Guilinger, James ; Foufoula-Georgiou, Efi ; Gray, Andrew B. ; Randerson, James T. ; Smyth, Padhraic ; Barth, Nicolas ; Goulden, Michael ; Anonymous",2023,Utilizing repeat airborne lidar for prediction of post-fire sediment yield from small steep drainages,"Geological Society of America, 2023 annual meeting; GSA connects 2023",analytic,https://doi.org/10.1130/abs/2023AM-393547,https://research.ebsco.com/linkprocessor/plink?id=45bc35e1-2001-3160-889a-a0b9addb4a8f,EBSCOhost
