study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
Buss_Dabros_Higgins_etal_2024,Buss,"Buss, J.; Dabros, A.; Higgins, K. L.; Hammond, H. E. J.; Pinzon, J.; Langor, D. W.",2024,Comparison of edge effects from well pads and industrial roads on mixed upland boreal forest vegetation in Alberta.,Plant Ecology,article,https://doi.org/10.1007/s11258-023-01393-3,https://ostrnrcan-dostrncan.canada.ca/entities/publication/2b9475d1-3051-4c73-943f-e668e57cc6ff,NRCan OSTR
Hébert_Paré_Martel_etal_2023,Hébert,"Hébert, C.; Paré, D.; Martel, V.; Boucher, J.; Laganière, J.; Isabel, N.",2023,"In Brief from the Canadian Forest Service, Laurentian Forestry Centre. 2023. NRCan, CFS, Laurentian Forestry Centre, Québec, Que. No. 62.",NA,report,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/0ea4c419-4818-423d-b6d6-4cfd4418e124,NRCan OSTR
De Grandpré_Marchand_Kneeshaw_etal_2022,De Grandpré,"De Grandpré, L.; Marchand, M.; Kneeshaw, D. D.; Pare, D.; Boucher, D.; Bourassa, S.; Gervais, D.; Simard, M.; Griffin, J. M.; Pureswaran, D. S.",2022, Defoliation-induced changes in foliage quality may trigger broad-scale insect outbreaks,NA,article,https://doi.org/1038,https://ostrnrcan-dostrncan.canada.ca/entities/publication/27ba6a14-3f08-4f1d-b5b0-01e5e31f75ab,NRCan OSTR
Pinzon_Dabros_Hoffman_2022,Pinzon,"Pinzon, J.; Dabros, A.; Hoffman, P. G. K.",2022,Soil mounding as a restoration approach of seismic lines in boreal peatlands: implications on microtopography.,Restoration Ecology,article,https://doi.org/10.1111/rec.13835,https://ostrnrcan-dostrncan.canada.ca/entities/publication/0e3b66b2-567f-4f81-bccd-a1f50c9a4f53,NRCan OSTR
Gonsamo_Kurz_2022,Gonsamo,"Gonsamo, A.; Kurz, W. A.",2022,Large Soil Carbon Storage in Terrestrial Ecosystems of Canada,NA,article,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/fe6cef45-cbb4-4629-9364-3e0079fbb871,NRCan OSTR
Luther_2021,Luther,"Luther, J. E.",2021,Using the Soil and Water Assessment Tool to develop a LiDAR-based index of the erosion regulation ecosystem service,Journal of Hydrology,article,https://doi.org/10.1016/j.jhydrol.2021.126009,https://ostrnrcan-dostrncan.canada.ca/entities/publication/883cdc28-9872-445b-92e7-0825e8939896,NRCan OSTR
Lantz_Hermosilla_Wulder_2022,Lantz,"Lantz, T. C.; Hermosilla, T.; Wulder, M.",2022,Biophysical Determinants of Shifting Tundra Vegetation Productivity in the Beaufort Delta Region of Canada,Ecosystems,article,https://doi.org/10.1007/s10021-021-00725-6,https://ostrnrcan-dostrncan.canada.ca/entities/publication/eb2bc2d6-3d57-4a8c-8898-08fd19c7b18a,NRCan OSTR
Williams_Zhang_Estop-Aragonés_etal_2020,Williams,"Williams, M.; Zhang, Y.; Estop-Aragonés, C.; Fisher, J. P.; Xenakis, G.; Charman, D. J.; Hartley, I. P.; Murton, J. B.; Phoenix, G. K.",2020,Boreal permafrost thaw amplified by fire disturbance and precipitation increases,Environmental Research Letters,article,https://doi.org/10.1088/1748-9326/abbeb8,https://ostrnrcan-dostrncan.canada.ca/entities/publication/7cbb186b-bebe-4361-aa84-48798fcb49e4,NRCan OSTR
Nadeau_Pare_Girardin_etal_2020,Nadeau,"Nadeau, S.; Pare, D.; Girardin, M. -P.; Côté, J. -F.; Duchesne, I.",2020,"Les Brèves du Service canadien des forêts, Centre de foresterie des Laurentides. No 58.",NA,report,NA,https://ostrnrcan-dostrncan.canada.ca/entities/publication/987c3ecb-7524-472b-82dc-605e48c8b2fe,NRCan OSTR
Ramsfield_Shay_Trofymow_etal_2020,Ramsfield,"Ramsfield, T. D.; Shay, P-E.; Trofymow, J. A.; Myrholm, C. L.; Tomm, B.; Gagné, P.; Berubé, J.",2020,Distance from the forest edge influences soil fungal communities colonizing a reclaimed soil borrow site in boreal mixedwood forest.,Forests,article,https://doi.org/10.3390/f11040427,https://ostrnrcan-dostrncan.canada.ca/entities/publication/16f27cce-c057-4f27-b04a-8fbe0e256417,NRCan OSTR
