study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
Han_Page‐Dumroese_Johnson_etal_2009,Han,Sang-Kyun Han;Deborah S. Page‐Dumroese;Leonard R. Johnson,2009,Soil compaction associated with cut-to-length and whole-tree harvesting of a coniferous forest,Canadian Journal of Forest Research,NA,10.1139/x09-027,NA,ResearchRabbit
Jansson_etal_1998,Jansson,Karl-Johan Jansson,1998,Soil changes after traffic with a tracked and a wheeled forest machine: a case study on a silt loam in Sweden,Forestry,NA,10.1093/forestry/71.1.57,NA,ResearchRabbit
Huang_Huang_Roy_etal_2016,Huang,Hung-Chun Huang;Haiyan Huang;David P. Roy;Luigi Boschetti;Lin Yan;Sundeep Kumar;Sanath Sathyachandran Kumar;José Gómez-Dans;Jian Li,2016,Separability Analysis of Sentinel-2A Multi-Spectral Instrument (MSI) Data for Burned Area Discrimination,Remote Sensing,NA,10.3390/rs8100873,NA,ResearchRabbit
Fwa_Pasindu_Ong_etal_2012,Fwa,T.f. Fwa;H.r. Pasindu;G. B. Ong;Ghim Ping Ong,2012,Critical Rut Depth for Pavement Maintenance Based on Vehicle Skidding and Hydroplaning Consideration,Journal of Transportation Engineering-asce,NA,10.1061/(asce)te.1943-5436.0000336,NA,ResearchRabbit
Botta_Becerra_Tourn_etal_2009,Botta,Guido Fernando Botta;Alfredo Tolón Becerra;F. Bellora Tourn,2009,Effect of the number of tractor passes on soil rut depth and compaction in two tillage regimes,Soil & Tillage Research,NA,10.1016/j.still.2008.12.002,NA,ResearchRabbit
Warneke_Gouw_Stohl_etal_2006,Warneke,Carsten Warneke;J. A. De Gouw;Andreas Stohl;O. R. Cooper;P. D. Goldan;W. C. Kuster;J. S. Holloway;E. J. Williams;B. M. Lerner;S. A. Mckeen;M. Trainer;F. C. Fehsenfeld;Elliot L. Atlas;V. Stroud;A. Lueb;Shingo Kato,2006,Biomass burning and anthropogenic sources of CO over New England in the summer 2004,Journal of Geophysical Research,NA,10.1029/2005jd006878,NA,ResearchRabbit
Grace_Skaggs_Cassel_etal_2006,Grace,Johnny M. Grace;R. W. Skaggs;D. K. Cassel,2006,Soil Physical Changes Associated with Forest Harvesting Operations on an Organic Soil,Soil Science Society of America Journal,NA,10.2136/sssaj2005.0154,NA,ResearchRabbit
Teillet_Guindon_Goodenough_etal_1982,Teillet,Philippe Teillet;B. Guindon;D. G. Goodenough,1982,On the Slope-Aspect Correction of Multispectral Scanner Data,Canadian Journal of Remote Sensing,NA,10.1080/07038992.1982.10855028,NA,ResearchRabbit
Rosso_Ustin_Hastings_etal_2005,Rosso,Pablo Rosso;Susan L. Ustin;Alan Hastings,2005,"Mapping marshland vegetation of San Francisco Bay, California, using hyperspectral data",International Journal of Remote Sensing,NA,10.1080/01431160500218770,NA,ResearchRabbit
Earl_1997,Earl,Richard A. Earl,1997,Prediction of trafficability and workability from soil moisture deficit,Soil & Tillage Research,NA,10.1016/s0167-1987(96)01072-0,NA,ResearchRabbit
Teillet_1986,Teillet,P. M. Teillet,1986,Image correction for radiometric effects in remote sensing,International Journal of Remote Sensing,NA,10.1080/01431168608948958,NA,ResearchRabbit
Lee_Lee_Won_etal_2009,Lee,Sang‐Woo Lee;Young‐Geun Lee;Myoung-Soo Won;Jong-Jin Kim;Sung–Kwon Hong,2009,"Relationship between landscape structure and burn severity at the landscape and class levels in Samchuck, South Korea",Forest Ecology and Management,NA,10.1016/j.foreco.2009.07.017,NA,ResearchRabbit
Boulin_Schmidt_Bulmer_etal_2008,Boulin,Victoria M. Boulin;Margaret R. Schmidt;Chuck Bulmer;Maja Kržić,2008,Effects of compaction and water content on lodgepole pine seedling growth,Forest Ecology and Management,NA,10.1016/j.foreco.2008.01.008,NA,ResearchRabbit
Wood_Carling_Moffat_etal_2003,Wood,Matthew J. Wood;Paul A. Carling;A. J. Moffat,2003,Reduced ground disturbance during mechanized forest harvesting on sensitive forest soils in the UK,Forestry,NA,10.1093/forestry/76.3.345,NA,ResearchRabbit
Landis_Koch_etal_1977,Landis,J. R. Landis;Gary G. Koch,1977,The measurement of observer agreement for categorical data,Biometrics,NA,10.2307/2529310,NA,ResearchRabbit
Lutz_1956,Lutz,H.j. Lutz,1956,Ecological Effects of Forest Fires in the Interior of Alaska,NA,NA,NA,NA,ResearchRabbit
Sairam_Nagarajan_Ornitz_etal_2016,Sairam,Nivedita Sairam;Sudhagar Nagarajan;Scott Ornitz,2016,Development of Mobile Mapping System for 3D Road Asset Inventory.,Sensors,NA,10.3390/s16030367,NA,ResearchRabbit
Fwa_Chu_Tan_etal_2016,Fwa,T F Fwa;L. Chu;Kong-Bing Tan,2016,Rational Procedure for Determination of Rut Depth Intervention Level in Network-Level Pavement Management:,Transportation Research Record,NA,10.3141/2589-07,NA,ResearchRabbit
Tsai_Wang_Li_etal_2015,Tsai,Yichang Tsai;Zhaohua Wang;Feng Li,2015,Assessment of Rut Depth Measurement Accuracy of Point-Based Rut Bar Systems Using Emerging 3D Line Laser Imaging Technology,Journal of Marine Science and Technology,NA,10.6119/jmst-014-0327-1,NA,ResearchRabbit
Vepakomma_Cormier_etal_2017,Vepakomma,Udayalakshmi Vepakomma;Denis Cormier,2017,Potential of Multi-Temporal Uav-Borne LIDAR in Assessing Effectiveness of Silvicultural Treatments,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",NA,10.5194/isprs-archives-xlii-2-w6-393-2017,NA,ResearchRabbit
Poon_Kinoshita_etal_2018,Poon,Patrick K. Poon;A. M. Kinoshita,2018,Spatial and temporal evapotranspiration trends after wildfire in semi-arid landscapes,Journal of Hydrology,NA,10.1016/j.jhydrol.2018.02.023,NA,ResearchRabbit
Teluguntla_Thenkabail_Oliphant_etal_2018,Teluguntla,P Teluguntla;Prasad S. Thenkabail;Adam Oliphant;Jian Xiong;Murali Krishna Gumma;Russell G. Congalton;Kamini Yadav;Alfredo Huete,2018,A 30-m landsat-derived cropland extent product of Australia and China using random forest machine learning algorithm on Google Earth Engine cloud computing platform,Isprs Journal of Photogrammetry and Remote Sensing,NA,10.1016/j.isprsjprs.2018.07.017,NA,ResearchRabbit
Vepakomma_Cormier_etal_2019,Vepakomma,Udayalakshmi Vepakomma;Denis Cormier,2019,Valuing Forest Stand at a Glance with Uav Based LIDAR,"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",NA,10.5194/isprs-archives-xlii-2-w13-643-2019,NA,ResearchRabbit
Wang_Chen_Zhu_etal_2019,Wang,Yanjun Wang;Qi Chen;Qing Zhu;Lin Liu;Chaokui Li;Dunyong Zheng,2019,A Survey of Mobile Laser Scanning Applications and Key Techniques over Urban Areas,Remote Sensing,NA,10.3390/rs11131540,NA,ResearchRabbit
Camargo_Camargo_Sano_etal_2019,Camargo,Pedro H. C. Camargo;Flavio Fortes Camargo;Edson Eyji Sano;Cláudia Maria De Almeida;José Cláudio Mura;Tati De Almeida,2019,A Comparative Assessment of Machine-Learning Techniques for Land Use and Land Cover Classification of the Brazilian Tropical Savanna Using ALOS-2/PALSAR-2 Polarimetric Images,Remote Sensing,NA,10.3390/rs11131600,NA,ResearchRabbit
Long_Long_Zhang_etal_2019,Long,Tao Long;Tengfei Long;Zhaoming Zhang;Guojin He;Weili Jiao;Bingfang Wu;Xiaomei Zhang;Guizhou Wang;Ranyu Yin,2019,30 m Resolution Global Annual Burned Area Mapping Based on Landsat Images and Google Earth Engine,Remote Sensing,NA,10.3390/rs11050489,NA,ResearchRabbit
Novo_González-Jorge_Martínez-Sánchez_etal_2020,Novo,Alexandre Novo;H. González-Jorge;J. Martínez-Sánchez;Henrique Lorenzo,2020,Canopy detection over roads using mobile lidar data,International Journal of Remote Sensing,NA,10.1080/01431161.2019.1678077,NA,ResearchRabbit
Elhashash_Albanwan_Qin_etal_2022,Elhashash,Mostafa Elhashash;Hessah Albanwan;Rongjun Qin,2022,A Review of Mobile Mapping Systems: From Sensors to Applications,Sensors,NA,10.3390/s22114262,NA,ResearchRabbit
Lentile_Holden_Smith_etal_2006,Lentile,Leigh B. Lentile;Zachary A. Holden;Alistair M. S. Smith;Michael J. Falkowski;Andrew T. Hudak;Penelope Morgan;Paul E. Gessler;Nathan C. Benson,2006,Remote sensing techniques to assess active fire characteristics and post-fire effects,International Journal of Wildland Fire,NA,10.1071/wf05097,NA,ResearchRabbit
Cambi_Certini_Neri_etal_2015,Cambi,Martina Cambi;Giacomo Certini;Francesco Neri;Enrico Marchi,2015,The impact of heavy traffic on forest soils: A review,Forest Ecology and Management,NA,10.1016/j.foreco.2014.11.022,NA,ResearchRabbit
