study_id,first_author,authors,year,title,source,type,doi,link_url,dbase
Sleeter_Bean_Creighton_etal_2024,Sleeter,"Sleeter, Rachel ; Bean, Robert ; Creighton, Andrea ; Anonymous",2024,"Remote-sensing assessment of post-fire vegetation regrowth in the little North santiam watershed, Oregon","Geological Society of America, 2024 annual meeting; GSA Connects 2024",analytic,https://doi.org/10.1130/abs/2024AM-401975,https://research.ebsco.com/linkprocessor/plink?id=85cdebbb-9c67-3a60-8932-e8c2efde077b,EBSCOhost
Chatterjee_2020,Chatterjee,"Chatterjee, Nirmalya",2020,"Soil erosion assessment in a humid, eastern Himalayan watershed undergoing rapid land use changes, using RUSLE, GIS and high-resolution satellite imagery",Modeling Earth Systems and Environment,analytic,https://doi.org/10.1007/s40808-019-00700-0,https://research.ebsco.com/linkprocessor/plink?id=e8e2bfac-7c15-38a4-aac8-38d0e5369ad2,EBSCOhost
Wells_Bennett_Redwine_etal_2024,Wells,"Wells, Ray E. ; Bennett, Scott E. K.  ; Redwine, Joanna R. ; Staisch, Lydia M.  ; Holm-Denoma, Christopher S.  ; Mahan, Shannon A.",2024,"Geologic map of Scoggins Dam, Henry Hagg Lake, and Scoggins Valley, Washington County, Oregon",Scientific Investigations Map,monograph,https://doi.org/10.3133/sim3528,https://research.ebsco.com/linkprocessor/plink?id=c23d8151-e1fc-30b5-8d20-d8ac6e045d11,EBSCOhost
Robichaud_Lewis_Brown_etal_2020,Robichaud,"Robichaud, Peter R. ; Lewis, Sarah A. ; Brown, Robert E. ; Bone, Edwin D. ; Brooks, Erin S.",2020,Evaluating post-wildfire logging-slash cover treatment to reduce hillslope erosion after salvage logging using ground measurements and remote sensing,Hydrological Processes,analytic,https://doi.org/10.1002/hyp.13882,https://research.ebsco.com/linkprocessor/plink?id=d3c53c39-0c96-3d2a-8bd7-33d879808112,EBSCOhost
Raimat_Van Eghoff_Campos_etal_2023,Raimat,"Raimat, Carles ; Van Eghoff, Christian ; Campos, Ana ; Corroyer, Laurent ; Mora-Castro, Sergio ; Saborio, Javier ; Vega, Arabela ; Anonymous",2023,Proposal of UAV-Lidar and photogrammetry-based modeling for assessing soil loss using nature-based solutions as countermeasure in urban areas in DRC,European Geosciences Union general assembly 2023,analytic,https://doi.org/10.5194/egusphere-egu23-14216,https://research.ebsco.com/linkprocessor/plink?id=1138257d-2a0b-3bf6-82e3-bc71566f9fa2,EBSCOhost
Walsh_Abu Bakar_Nainar_etal_2023,Walsh,"Walsh, Rory ; Abu Bakar, Siti Nurhidayu ; Nainar, Anand ; Bidin, Kawi ; Annammala, Kogila ; Higton, Sam ; Anonymous",2023,"Erosional dynamics, sediment sources and designing strategies to reduce downstream sedimentation and flooding in oil palm terrain in Sabah (Malaysian Borneo).",European Geosciences Union general assembly 2023,analytic,https://doi.org/10.5194/egusphere-egu23-16066,https://research.ebsco.com/linkprocessor/plink?id=6d77d161-8a17-392e-879d-66a4fa38a2b1,EBSCOhost
Liimatainen_Kulmala_Lapikivi_etal_2023,Liimatainen,"Liimatainen, Maarit ; Kulmala, Liisa  ; Lapikivi, Miika  ; Lotjonen, Timo ; Yli-Halla, Markku  ; Nieminen, Jaana ; Kekkonen, Jarkko ; Kinnunen, Juho ; Gerin, Stephanie  ; Vekuri, Henriikka ; Pham, Tung ; Hoyhtya, Iida ; Marttila, Hannu  ; Klove, Bjorn ; Liedes, Toni ; Laurila, Tuomas  ; Lohila, Annalea  ; Liski, Jari ; Joki-Tokola, Erkki ; Anonymous",2023,Environmental impacts and mitigation options on cultivated peatland with shallow peat depth in northern Finland; NorPeat platform,European Geosciences Union general assembly 2023,analytic,https://doi.org/10.5194/egusphere-egu23-8872,https://research.ebsco.com/linkprocessor/plink?id=1e5cb4f5-3f16-3aa2-b979-c60364650803,EBSCOhost
Pittaki_Vagen_Karari_etal_2023,Pittaki,"Pittaki, Zampela ; Vagen, Tor-Gunnar ; Karari, Valentine ; Weullow, Elvis ; Ateku, Dickens Alubaka ; Winowiecki, Leigh Ann ; Anonymous",2023,Towards a more sustainable global soil health monitoring through soil spectroscopy,European Geosciences Union general assembly 2023,analytic,https://doi.org/10.5194/egusphere-egu23-15335,https://research.ebsco.com/linkprocessor/plink?id=a14ab194-de90-3a9e-b3ab-30a36ff6bb47,EBSCOhost
Kaphle_Tunby_Nichols_etal_2022,Kaphle,"Kaphle, Asmita ; Tunby, Paige ; Nichols, Justin ; Khandelwal, Aashish ; Greaves, Conrad ; Aldred, Jenn ; Van Horn, David ; Gonzalez-Pinzon, Ricardo ; Anonymous",2022,Rapid response monitoring of the Hermit's Peak-Calf Canyon fire; water quality impacts,"Geological Society of America, 2022 annual meeting; GSA connects 2022",analytic,https://doi.org/10.1130/abs/2022AM-382985,https://research.ebsco.com/linkprocessor/plink?id=0e700d1f-85dd-30ba-bc75-42fb7e387426,EBSCOhost
Guilinger_Foufoula-Georgiou_Gray_etal_2022,Guilinger,"Guilinger, James ; Foufoula-Georgiou, Efi ; Gray, Andrew B. ; Anonymous",2022,Controls on post-wildfire channel sediment yield,"Geological Society of America, 2022 annual meeting; GSA connects 2022",analytic,https://doi.org/10.1130/abs/2022AM-379996,https://research.ebsco.com/linkprocessor/plink?id=a449a3c2-5517-3085-954e-ebc5b4f1581a,EBSCOhost
