DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1071/wf05097,,,Remote sensing techniques to assess active fire characteristics and post-fire effects,"Space and airborne sensors have been used to map area burned, assess characteristics of active fires, and characterize post-fire ecological effects. Confusion about fire intensity, fire severity, burn severity, and related terms can result in the potential misuse of the inferred information by land managers and remote sensing practitioners who require unambiguous remote sensing products for fire management. The objective of the present paper is to provide a comprehensive review of current and potential remote sensing methods used to assess fire behavior and effects and ecological responses to fire. We clarify the terminology to facilitate development and interpretation of comprehensible and defensible remote sensing products, present the potential and limitations of a variety of approaches for remotely measuring active fires and their post-fire ecological effects, and discuss challenges and future directions of fire-related remote sensing research.","Leigh B. Lentile,Leigh B. Lentile,Zachary A. Holden,Zachary A. Holden,Alistair M. S. Smith,Alistair M. S. Smith,Michael J. Falkowski,Michael J. Falkowski,Andrew T. Hudak,Andrew T. Hudak,Penelope Morgan,Penelope Morgan,Sarah A. Lewis,Sarah A. Lewis,Paul E. Gessler,Paul E. Gessler,Nathan C. Benson,Nate C. Benson",International Journal of Wildland Fire,2006
10.1016/j.foreco.2014.11.022,,,The impact of heavy traffic on forest soils: A review,,"Martina Cambi,Martina Cambi,Giacomo Certini,Giacomo Certini,Francesco Neri,Francesco Neri,Enrico Marchi,Enrico Marchi",Forest Ecology and Management,2015
10.1016/j.rse.2005.03.002,,,Evaluation of remotely sensed indices for assessing burn severity in interior Alaska using Landsat TM and ETM,,"Justin Epting,Justin Epting,David L. Verbyla,David Verbyla,Brian Sorbel,Brian Sorbel",Remote Sensing of Environment,2005
10.1016/j.rse.2006.12.006,,,Quantifying burn severity in a heterogeneous landscape with a relative version of the delta Normalized Burn Ratio (dNBR),,"Jay D. Miller,Jay D. Miller,Andrea E. Thode,Andrea E. Thode",Remote Sensing of Environment,2007
10.1016/j.rse.2010.03.013,,,Estimating burn severity from Landsat dNBR and RdNBR indices across western Canada.,,"Nicholas O. Soverel,Nicholas O. Soverel,Daniel D. B. Perrakis,Daniel D. B. Perrakis,Nicholas C. Coops,Nicholas C. Coops",Remote Sensing of Environment,2010
10.1071/wf07049,,,"Fire intensity, fire severity and burn severity: a brief review and suggested usage","Several recent papers have suggested replacing the terminology of fire intensity and fire severity .P art of the problem with fire intensity is that it is sometimes used incorrectly to describe fire effects, when in fact it is justifiably restricted to measures of energy output. Increasingly, the term has created confusion because some authors have restricted its usage to a single measure of energy output referred to as fireline intensity. This metric is most useful in understanding fire behavior in forests, but is too narrow to fully capture the multitude of ways fire energy affects ecosystems. Fire intensity represents the energy released during various phases of a fire, and different metrics such as reaction intensity, fireline intensity, temperature, heating duration and radiant energy are useful for different purposes. Fire severity, and the related term burn severity, have created considerable confusion because of recent changes in their usage. Some authors have justified this by contending that fire severity is defined broadly as ecosystem impacts from fire and thus is open to individual interpretation. However, empirical studies have defined fire severity operationally as the loss of or change in organic matter aboveground and belowground, although the precise metric varies with management needs. Confusion arises because fire or burn severity is sometimes defined so that it also includes ecosystem responses. Ecosystem responses include soil erosion, vegetation regeneration, restoration of community structure, faunal recolonization, and a plethora of related response variables. Although some ecosystem responses are correlated with measures of fire or burn severity, many important ecosystem processes have either not been demonstrated to be predicted by severity indices or have been shown in some vegetation types to be unrelated to severity. This is a critical issue because fire or burn severity are readily measurable parameters, both on the ground and with remote sensing, yet ecosystem responses are of most interest to resource managers.","Jon E. Keeley,Jon E. Keeley",International Journal of Wildland Fire,2009
10.1071/wf08007,,,Using Landsat data to assess fire and burn severity in the North American boreal forest region: an overview and summary of results,"There has been considerable interest in the recent literature regarding the assessment of post-fire effects on forested areas within the North American boreal forest. Assessing the physical and ecological effects of fire in boreal forests has far-reaching implications for a variety of ecosystem processes - such as post-fire forest succession - and land management decisions. The present paper reviews past assessments and the studies presented in this special issue that have largely been based on the Composite Burn Index and differenced Normalized Burn Ratio (dNBR). Results from relating and mapping fire/burn severity within the boreal region have been variable, and are likely attributed, in part, to the wide variability in vegetation and terrain conditions that are characteristic of the region. Satellite remote sensing of post-fire effects alone without proper field calibration should be avoided. A sampling approach combining field and image values of burn condition is necessary for successful mapping of fire/burn severity. Satellite-based assessments of fire/burn severity, and in particular dNBR and related indices, need to be used judiciously and assessed for appropriateness based on the users' need. Issues unique to high latitudes also need to be considered when using satellite-derived information in the boreal forest region.","Nancy H. F. French,Nancy H. F. French,Eric S. Kasischke,Eric S. Kasischke,Ronald J. Hall,Ronald J. Hall,Karen Murphy,Karen Murphy,David L. Verbyla,David Verbyla,Elizabeth Hoy,Elizabeth E. Hoy,Jennifer L. Allen,Jennifer L. Allen",International Journal of Wildland Fire,2008
10.1071/wf08050,,,Evaluating the ability of the differenced Normalized Burn Ratio (dNBR) to predict ecologically significant burn severity in Alaskan boreal forests,"During the 2004 fire season ~6.6 million acres (~2.7 million ha) burned across Alaska. Nearly 2 million of these were on National Wildlife Refuge System lands inaccessible from the state’s limited road system. Many fires burned through September, driven by unusually warm and dry temperatures throughout the summer. Using several fires from this season, we assessed the national burn severity methodology’s performance on refuge lands. Six fires, spanning 814 489 acres (329 613 ha), were sampled on five boreal forest refuges. In total, 347 sites were sampled for vegetation composition and ground-based burn severity estimates following the national protocols. The relationship between the differenced Normalized Burn Ratio (dNBR) and composite burn index (CBI) was unexpectedly weak (R2adjusted, 0.11–0.64). The weak relationship was not a result of data or image processing errors, nor of any biotic or abiotic confounding variable. The inconsistent results, and dNBR’s limited ability to discern the ecologically significant differences within moderate and high severity burn sites, indicate that the current methodology does not satisfy key Alaskan boreal forest management objectives.","Karen Murphy,Karen Murphy,Joel H. Reynolds,Joel H. Reynolds,John M. Koltun,John M. Koltun",International Journal of Wildland Fire,2008
10.3832/ifor1165-007,,,Use of terrestrial laser scanning to evaluate the spatial distribution of soil disturbance by skidding operations,"Abstract: We investigated the disturbance to the surface of a skid trail caused by removing cut timber from inside the forest to the roadside by dragging using terrestrial laser scanning technology. We scanned the study site prior to taking any action, after skidding and after implementing post-harvesting reinstatement to the surface of the skid trail. From the point cloud obtained, we derived an irregular point field. We generated a triangulated irregular network which we then interpolated into a raster digital terrain model with a resolution of 1cm. By comparing the digital terrain models, we analysed the influence of skidding the timber and the influence of post-harvesting reinstatement upon the surface of the skid trail. The surface of the skid trail was most significantly affected in the area where the harvested logs were extracted and stacked for hauling. In the centre section of the trail, where the logs were dragged by a tractor, quite deep tracks were created and the intensity of soil disturbance was comparable to the handling section. The lowest intensity of soil disturbance was found in the area where the skid trail met the roadside. The post-harvesting reinstatement of the working area resulted in levelling the surface of the skid trail and the deepest tracks were filled in. The post-harvesting reinstatement caused a 12% increase of the volume of ruts, a 49% decrease of the volume of mounds of soil and a 6% increase of total soil volume change.","Milan Koreň,M. Koren,M. Slančík,M. Slančík,Josef Suchomel,J. Suchomel,J. Dubina,J. Dubina",Iforest - Biogeosciences and Forestry,2014
10.1071/wf08038,,,Seasonal and topographic effects on estimating fire severity from Landsat TM/ETM+ data,"The maximum solar elevation is typically less than 50 degrees in the Alaskan boreal region and solar elevation varies substantially during the growing season. Because of the relatively low solar elevation at boreal latitudes, the effect of topography on spectral reflectance can influence fire severity indices derived from remotely sensed data. We used Landsat Thematic Mapper (TM) and Enhanced Thematic Mapper (ETM) data to test the effect of changing solar elevation and topography on the Normalized Burn Ratio (NBR) and the differenced Normalized Burn Ratio (dNBR). When a time series of unburned pixels from black spruce forests was examined, we found that NBR values consistently decreased from June through September. At the stand level, dNBR-derived values from similar unburned and burned black spruce stands were substantially higher from September imagery relative to July or August imagery. Within the Boundary burn, we found mean post-fire NBR to consistently vary owing to topographic control of potential solar radiation. To minimise spectral response due to topographic control of vegetation and fire severity, we computed a dNBR using images from August and September immediately after a June–July wildfire. There was a negative bias in remotely sensed fire severity estimates as potential solar radiation decreased owing to topography. Thus fire severity would be underestimated for stands in valley bottoms dominated by topographic shading or on steep north-facing slopes oriented away from incoming solar radiation. This is especially important because highly flammable black spruce stands typically occur on such sites. We demonstrate the effect of changing pre- and post-fire image dates on fire severity estimates by using a fixed NBR threshold defining ‘high severity’. The actual fire severity was constant, but owing to changes in phenology and solar elevation, ‘high severity’ pixels within a burn ranged from 56 to 76%. Because spectral reflectance values vary substantially as solar elevation and plant phenology change, the use of reflectance-based indices to assess trends in burn severity across regions or years may be especially difficult in high-latitude areas such as the Alaskan boreal forest.","David L. Verbyla,David Verbyla,Eric S. Kasischke,Eric S. Kasischke,Elizabeth Hoy,Elizabeth E. Hoy",International Journal of Wildland Fire,2008
