"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Jia J.; Hughes A.C.; Nunes M.H.; Santos E.G.; Pellikka P.K.E.; Kalliovirta L.; Mwang ombe J.; Maeda E.E.","Jia, Jinlin (59257590300); Hughes, Alice Catherine (57736919800); Nunes, Matheus Henrique (35185474800); Santos, Erone Ghizoni (57208485865); Pellikka, Petri K.E. (7007042259); Kalliovirta, Leena (55507246900); Mwang ombe, James (59258018100); Maeda, Eduardo Eiji (26039315200)","59257590300; 57736919800; 35185474800; 57208485865; 7007042259; 55507246900; 59258018100; 26039315200","Forest structural and microclimatic patterns along an elevational gradient in Mount Kenya","2024","Agricultural and Forest Meteorology","356","","110188","","","","2","10.1016/j.agrformet.2024.110188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201098420&doi=10.1016%2fj.agrformet.2024.110188&partnerID=40&md5=decc679ffc71f0cb2746a8cdf4c8677c","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85201098420"
"Rao J.; Tang Q.; Duan D.; Xu Y.; Wei J.; Bao Y.; He X.; Collins A.L.","Rao, Jie (59128773600); Tang, Qiang (54880231700); Duan, Dingqi (59129532700); Xu, Yuehang (59129348600); Wei, Jie (57198756224); Bao, Yuhai (57214924430); He, Xiubin (12344588300); Collins, Adrian L. (59299728100)","59128773600; 54880231700; 59129532700; 59129348600; 57198756224; 57214924430; 12344588300; 59299728100","UAV-based modelling of vegetation recovery under extreme habitat stresses in the water level fluctuation zone of the Three Gorges Reservoir, China","2024","Science of the Total Environment","934","","173185","","","","1","10.1016/j.scitotenv.2024.173185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193295976&doi=10.1016%2fj.scitotenv.2024.173185&partnerID=40&md5=aa2078d8e714d9d43f81621955990c92","Article","Final","","Scopus","2-s2.0-85193295976"
"Chen X.; Hou Q.; Fu Y.; Zhu Y.","Chen, Xin (57134143000); Hou, Qingshan (59141560100); Fu, Yan (58672382400); Zhu, Yaolin (16508410400)","57134143000; 59141560100; 58672382400; 16508410400","A lightweight multiscale smoke segmentation algorithm based on improved DeepLabV3+","2024","IET Image Processing","18","10","","2665","2678","13","1","10.1049/ipr2.13125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194050583&doi=10.1049%2fipr2.13125&partnerID=40&md5=b8e42e6a6abb8bd4f205b0f27ddf8ff4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85194050583"
"Perez-Portero A.; Munoz-Martin J.F.; Rodriguez-Alvarez N.; Bosch-Lluis X.; Oudrhiri K.","Perez-Portero, Adrian (56236355000); Munoz-Martin, Joan Francesc (57207881844); Rodriguez-Alvarez, Nereida (23493333800); Bosch-Lluis, Xavier (22233776100); Oudrhiri, Kamal (15036531500)","56236355000; 57207881844; 23493333800; 22233776100; 15036531500","Forward and backward full-pol scattering analysis using SMAP reflectometer and radar datasets","2024","Remote Sensing of Environment","309","","114211","","","","0","10.1016/j.rse.2024.114211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194092142&doi=10.1016%2fj.rse.2024.114211&partnerID=40&md5=15892cf91b66fc0fb6a6e957c8fee9a4","Article","Final","","Scopus","2-s2.0-85194092142"
"Atalay H.; Sunar A.F.; Dervisoglu A.","Atalay, Hatice (58939657400); Sunar, Ayse Filiz (58961694600); Dervisoglu, Adalet (57211515239)","58939657400; 58961694600; 57211515239","Investigating FWI Moisture Codes in Relation to Satellite-Derived Soil Moisture Data across Varied Resolutions","2024","Fire","7","8","272","","","","0","10.3390/fire7080272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202620681&doi=10.3390%2ffire7080272&partnerID=40&md5=f7d63c833ef2ca11e2518e353f8f87e6","Article","Final","","Scopus","2-s2.0-85202620681"
"Sebastiani A.; Bertozzi M.; Vannini A.; Morales-Rodriguez C.; Calfapietra C.; Vaglio Laurin G.","Sebastiani, Alessandro (57195468987); Bertozzi, Matteo (59310819800); Vannini, Andrea (7003304155); Morales-Rodriguez, Carmen (55215633000); Calfapietra, Carlo (6602880550); Vaglio Laurin, Gaia (54998393300)","57195468987; 59310819800; 7003304155; 55215633000; 6602880550; 54998393300","Monitoring ink disease epidemics in chestnut and cork oak forests in central Italy with remote sensing","2024","Remote Sensing Applications: Society and Environment","36","","101329","","","","1","10.1016/j.rsase.2024.101329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202936377&doi=10.1016%2fj.rsase.2024.101329&partnerID=40&md5=3c8c85a5ac935ef24cd1a6a694a14f48","Article","Final","","Scopus","2-s2.0-85202936377"
"So K.; Rogers C.A.; Li Y.; Arain M.A.; Gonsamo A.","So, Kangyu (59218891200); Rogers, Cheryl A. (57209856979); Li, Yiyao (59218341400); Arain, M. Altaf (58588206900); Gonsamo, Alemu (24402523700)","59218891200; 57209856979; 59218341400; 58588206900; 24402523700","Retention forestry as a climate solution: Assessing biomass, soil carbon and albedo impacts in a northern temperate coniferous forest","2024","Science of the Total Environment","947","","174680","","","","0","10.1016/j.scitotenv.2024.174680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198538738&doi=10.1016%2fj.scitotenv.2024.174680&partnerID=40&md5=c4ec4fc2f5d4b5dd9a74d14e4bb4e606","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85198538738"
"Kharuk V.I.; Buryak L.V.; Dvinskaya M.L.; Petrov I.A.; Shvetsov E.G.; Golyukov A.S.","Kharuk, V.I. (7003630909); Buryak, L.V. (41261169000); Dvinskaya, M.L. (8977139600); Petrov, I.A. (55855299300); Shvetsov, E.G. (55081355500); Golyukov, A.S. (57004921500)","7003630909; 41261169000; 8977139600; 55855299300; 55081355500; 57004921500","Natural Fires in the Larch Forest of the Cryolithozone: Monitoring and Firefighting Strategy under the Conditions of a Changing Climate","2024","Contemporary Problems of Ecology","17","5","","656","669","13","0","10.1134/S1995425524700446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205918936&doi=10.1134%2fS1995425524700446&partnerID=40&md5=3cd9b970092329cc7ff60b429498c2ef","Article","Final","","Scopus","2-s2.0-85205918936"
"de Castro Paiva T.; Pestana I.A.; de Oliveira B.C.V.; Malm O.; de Rezende C.E.; Kasper D.","de Castro Paiva, Thais (57892698400); Pestana, Inácio Abreu (57015139900); de Oliveira, Bráulio Cherene Vaz (57204686947); Malm, Olaf (7006160666); de Rezende, Carlos Eduardo (57224882273); Kasper, Daniele (35279721400)","57892698400; 57015139900; 57204686947; 7006160666; 57224882273; 35279721400","Temporal variation of mercury levels in fish, soil, and sediments in an Amazon reservoir: insights from 35 years of river impoundment in Pará State, Brazil","2024","Environmental Monitoring and Assessment","196","11","1089","","","","1","10.1007/s10661-024-13199-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206970933&doi=10.1007%2fs10661-024-13199-5&partnerID=40&md5=a1949781033be029a998087ca9cfda7a","Article","Final","","Scopus","2-s2.0-85206970933"
"Li D.; Ning Z.; Chen G.; Li Y.; Cui B.; Wang Q.; Xie T.","Li, Dongxue (57142835600); Ning, Zhonghua (57205329683); Chen, Guogui (57215848110); Li, Yi'na (57929205500); Cui, Baoshan (8238752900); Wang, Qing (57102232700); Xie, Tian (56494044700)","57142835600; 57205329683; 57215848110; 57929205500; 8238752900; 57102232700; 56494044700","The effect of land use and land cover on soil carbon storage in the Yellow River Delta, China: Implications for wetland restoration and adaptive management","2024","Journal of Environmental Management","367","","122097","","","","3","10.1016/j.jenvman.2024.122097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200103201&doi=10.1016%2fj.jenvman.2024.122097&partnerID=40&md5=53ad563b4e809502733383ba6affc5fb","Article","Final","","Scopus","2-s2.0-85200103201"
